States,Abbrev,CustomSw
Alabama,AL,N
Arkansas,AR,N
California,CA,N
Colorado,CO,N
Connecticut,CT,N
Delaware,DE,N
Florida,FL,N
Georgia,GA,N
Hawaii,HI,N
Idaho,ID,N
Illinois,IL,N
Indiana,IN,N
Iowa,IA,N
Kansas,KS,N
Kentucky,KY,N
Louisiana,LA,N
Maine,ME,N
Maryland,MD,N
Massachusetts,MA,N
Michigan,MI,N
Minnesota,MN,N
Mississippi,MS,N
Missouri,MO,N
Montana,MT,N
Nebraska,NE,N
Nevada,NV,N
New Hampshire,NH,N
New Jersey,NJ,N
New Mexico,NM,N
New York,NY,N
North Carolina,NC,N
North Dakota,ND,N
Ohio,OH,N
Oklahoma,OK,N
Oregon,OR,N
Pennsylvania,PA,N
Rhode Island,RI,N
South Carolina,SC,N
South Dakota,SD,N
Tennessee,TN,N
Texas,TX,N
Utah,UT,N
Vermont,VT,N
Virginia,VA,N
Washington,WA,N
Washington D.C.,DC,N
West Virginia,WV,N
Wisconsin,WI,N
Wyoming,WY,N
Alaska,AK,N
Arizona,AZ,N
Puerto Rico,PR,N
Pacific Basin,PB,N
Virgin Islands,VIL,N
